index,tfidf
confidential,0.3298762337607834
american,0.29593694123664943
interrogate,0.28354153014066213
franklin,0.25381851760468066
pack,0.25381851760468066
benjamin,0.24367106453542997
representative,0.24367106453542997
atlantic,0.22798724696599493
tension,0.22472368318108807
rising,0.21876766741144887
secretary,0.21603361304859647
stolen,0.21097262396707497
colony,0.21097262396707497
cross,0.1912782912507832
ordered,0.18811678136076268
state,0.1546219827946245
london,0.15383797193101392
sir,0.1486659670249853
letter,0.143974209298681
john,0.14208948104446634
one,0.08373627154455035
