index,tfidf
danny,0.5781011693705199
nicholas,0.21767938460512196
pub,0.2168100015709514
beth,0.18678338564519148
bernie,0.17338418223836943
barrister,0.17338418223836943
spencer,0.14903048871870309
friend,0.14473472521569558
appeal,0.14418464322258362
prison,0.11710810571703585
belmarsh,0.11558945482557964
cartwright,0.11558945482557964
nick,0.09339169282259574
freedom,0.09102564421807308
craig,0.08707175384204878
actor,0.08538294858441971
name,0.07705439822762097
sir,0.07569871667201064
big,0.07478984853829548
million,0.06388934720835932
outside,0.060031495245626426
moncrieff,0.05779472741278982
dann,0.05779472741278982
fracas,0.05779472741278982
bernies,0.05779472741278982
crann,0.05779472741278982
honour,0.05779472741278982
redmayne,0.05779472741278982
evidence,0.05719037679400792
accosted,0.05420250039273785
counsel,0.05420250039273785
proposing,0.05420250039273785
sweetheart,0.05420250039273785
timely,0.05165377476091317
aristocrat,0.05165377476091317
clearing,0.05165377476091317
wilson,0.05165377476091317
freeing,0.05165377476091317
albert,0.05165377476091317
stabbed,0.05165377476091317
daughter,0.05160744190460604
hugo,0.04967682957290103
godfather,0.04967682957290103
gather,0.04967682957290103
pound,0.0480615477408612
lengthy,0.0480615477408612
dress,0.0480615477408612
blamed,0.0480615477408612
young,0.04718101568847979
must,0.04681185558856542
denied,0.04669584641129787
upcoming,0.04669584641129787
celebrate,0.04669584641129787
murder,0.04557719401761667
hated,0.04551282210903654
pursuing,0.04551282210903654
convicted,0.04551282210903654
framed,0.044469320720809224
bid,0.044469320720809224
inmate,0.044469320720809224
goal,0.044469320720809224
orchestrated,0.044469320720809224
write,0.04353587692102439
sentence,0.04353587692102439
cleared,0.04353587692102439
highest,0.04353587692102439
confronted,0.04353587692102439
serve,0.042691474292209854
pretend,0.042691474292209854
individual,0.042691474292209854
kingdom,0.04192059508898456
teach,0.04192059508898456
intervention,0.04121145496443827
judge,0.04121145496443827
dollar,0.04121145496443827
possession,0.04121145496443827
friendship,0.04121145496443827
grows,0.04121145496443827
male,0.040554893759421236
legal,0.040554893759421236
custody,0.040554893759421236
popular,0.03994364990097242
estate,0.03994364990097242
sentenced,0.0393718694571599
help,0.03896995857070332
pregnant,0.03883476429024295
sort,0.03883476429024295
slowly,0.03883476429024295
begin,0.03850668920542655
closer,0.03832836806893258
uncle,0.03832836806893258
