index,tfidf
griffin,0.6599291145044792
kemp,0.3299645572522396
invisible,0.23968122096753566
marvel,0.23455512819638763
invisibility,0.1466509143343287
inn,0.12634082417256384
stranger,0.12031671041520697
kemps,0.11727756409819382
local,0.11587190762358109
village,0.09145697011443714
man,0.08778266330026584
iping,0.07818504273212921
attempt,0.06837959863227981
reign,0.06501794077256837
note,0.06342083134138118
medicine,0.06317041208628192
arrive,0.06254369059818761
policeman,0.06015835520760349
medical,0.05671042437797238
staying,0.05486289569168594
cover,0.05326249354834126
house,0.053199814191374976
reveals,0.052605735186234875
terror,0.0518508388130075
authority,0.0518508388130075
pay,0.050003310126721066
aid,0.050003310126721066
steal,0.04699125324804263
identity,0.04572848505721857
demand,0.04458617227935127
town,0.044435307449191636
large,0.03913606271186196
citizenry,0.03909252136606461
sussex,0.03909252136606461
confederate,0.03909252136606461
undress,0.03909252136606461
optic,0.03909252136606461
pique,0.03909252136606461
brimmed,0.03909252136606461
quit,0.03909252136606461
denounced,0.03909252136606461
devote,0.03909252136606461
burdock,0.03909252136606461
irascible,0.03909252136606461
announcing,0.03909252136606461
coerces,0.03909252136606461
organize,0.03909252136606461
sleeved,0.03909252136606461
apparatus,0.03909252136606461
landlady,0.03909252136606461
tell,0.03895344112845164
former,0.03803572970617639
face,0.037027975661543304
excessively,0.036662728583582174
equipped,0.036662728583582174
unfriendly,0.036662728583582174
procedure,0.036662728583582174
theatrical,0.036662728583582174
lodging,0.036662728583582174
glove,0.036662728583582174
goggles,0.036662728583582174
terrorize,0.036662728583582174
apprehend,0.036662728583582174
notebook,0.036662728583582174
venturing,0.036662728583582174
portrayal,0.036662728583582174
down,0.036662728583582174
luggage,0.036662728583582174
strange,0.03557343997633615
police,0.03507049012415659
burglary,0.034938763168766616
reverse,0.034938763168766616
sheet,0.034938763168766616
visible,0.034938763168766616
shout,0.034938763168766616
betray,0.034938763168766616
invented,0.034938763168766616
battered,0.034938763168766616
wide,0.034938763168766616
bolt,0.034938763168766616
pink,0.034938763168766616
snowstorm,0.03360155170568771
seaside,0.03360155170568771
betrayal,0.03360155170568771
impulse,0.03360155170568771
proposal,0.03360155170568771
tramp,0.03360155170568771
belong,0.03360155170568771
avenge,0.03360155170568771
seized,0.03360155170568771
reclusive,0.03360155170568771
thick,0.03360155170568771
plan,0.03338827733752909
mysterious,0.03283072505512417
cool,0.03250897038628418
chemical,0.03250897038628418
captor,0.03250897038628418
equipment,0.03250897038628418
nose,0.03250897038628418
describing,0.03250897038628418
